FileName,Normal,Murmur,Systole
0,0,0,1
1,1,0,0
2,0,0,1
3,1,0,0
4,0,0,1
5,0,1,0
6,1,0,0
7,1,0,0
8,1,0,0
9,0,0,1
10,0,1,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,0,0,1
18,1,0,0
19,0,1,0
20,1,0,0
21,0,0,1
22,0,0,1
23,0,0,1
24,1,0,0
25,1,0,0
26,1,0,0
27,0,1,0
28,1,0,0
29,0,1,0
30,1,0,0
31,0,0,1
32,0,0,1
33,1,0,0
34,0,0,1
35,1,0,0
36,1,0,0
37,0,0,1
38,0,0,1
39,1,0,0
40,0,1,0
41,1,0,0
42,1,0,0
43,0,0,1
44,0,1,0
45,1,0,0
46,0,0,1
47,1,0,0
48,1,0,0
49,0,0,1
50,0,0,1
51,1,0,0
52,1,0,0
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,1,0,0
58,1,0,0
59,1,0,0
60,0,0,1
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,0,0,1
66,0,0,1
67,1,0,0
68,0,0,1
69,0,1,0
